vuln,experiment,time
5,1,0.24863180005922914
10,1,0.27375249983742833
20,1,0.3711973000317812
30,1,0.42685839999467134
40,1,0.47696580016054213
50,1,0.5480615000706166
60,1,0.5857158999424428
5,2,0.24009850015863776
10,2,0.2794776998925954
20,2,0.30799610004760325
30,2,0.3967681999783963
40,2,0.42093900009058416
50,2,0.5373988999053836
60,2,0.6067442998755723
5,3,0.24848440010100603
10,3,0.2821161998435855
20,3,0.3317693001590669
30,3,0.41450890013948083
40,3,0.45464780018664896
50,3,0.5415558000095189
60,3,0.5810289999935776
5,4,0.2621555000077933
10,4,0.2665283000096679
20,4,0.3426419999450445
30,4,0.3995354000944644
40,4,0.4507122999057174
50,4,0.5482182998675853
60,4,0.6306892998982221
5,5,0.251569899963215
10,5,0.2772790000308305
20,5,0.34923189994879067
30,5,0.41670699999667704
40,5,0.474287899909541
50,5,0.5535153998062015
60,5,0.5677788998000324
5,6,0.24921160005033016
10,6,0.29024369991384447
20,6,0.3084640000015497
30,6,0.44011890003457665
40,6,0.45499689993448555
50,6,0.6085346001200378
60,6,0.7778547999914736
5,7,0.3224669999908656
10,7,0.3932838998734951
20,7,0.40989600005559623
30,7,0.5017591000068933
40,7,0.6353706999216229
50,7,0.7435922999866307
60,7,0.8290450999047607
5,8,0.2910714999306947
10,8,0.33978239982388914
20,8,0.5883801998570561
30,8,0.5323220000136644
40,8,0.6824027001857758
50,8,0.807655300013721
60,8,0.9717358001507819
5,9,0.32002860005013645
10,9,0.41986389993689954
20,9,0.41326779988594353
30,9,0.5852234999183565
40,9,0.6942640000488609
50,9,0.6886330000124872
60,9,0.7903448001015931
5,10,0.3111998001113534
10,10,0.4210873998235911
20,10,0.48897800012491643
30,10,0.5292246001772583
40,10,0.6347131000366062
50,10,0.6471019999589771
60,10,0.8205534000881016
5,11,0.29705679998733103
10,11,0.35965669993311167
20,11,0.4257488001603633
30,11,0.500972299836576
40,11,0.4826829999219626
50,11,0.49767379998229444
60,11,0.6129279001615942
5,12,0.24009789992123842
10,12,0.24691290012560785
20,12,0.3767370998393744
30,12,0.3862002999521792
40,12,0.39903219998814166
50,12,0.5461339000612497
60,12,0.5868776000570506
5,13,0.21785879996605217
10,13,0.28439110005274415
20,13,0.3623420000076294
30,13,0.4263303999323398
40,13,0.45357190002687275
50,13,0.529399499995634
60,13,0.5748556000180542
5,14,0.23611100018024445
10,14,0.2741931998170912
20,14,0.321249500149861
30,14,0.40667120018042624
40,14,0.4180743999313563
50,14,0.4759846997912973
60,14,0.5877173999324441
5,15,0.23269620002247393
10,15,0.28449540003202856
20,15,0.3313442999497056
30,15,0.4293796999845654
40,15,0.429778799880296
50,15,0.527662499807775
60,15,0.635289300000295
